,편의점 명,상품 명,분류,개당 가격,행사 유형,이미지
32,MINISTOP(미니스톱),귀애랑중형18P,생활용품,4100,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_70.jpg
33,MINISTOP(미니스톱),그릴케이)후랑크푸르터180g,식품,1450,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_07.jpg
34,MINISTOP(미니스톱),기획)잘할수있어요콘돔,생활용품,2100,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_75.jpg
35,MINISTOP(미니스톱),깔라만시레몬워터410펫,음료,1067,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_330.jpg
36,MINISTOP(미니스톱),꿀과레몬병180ml,음료,600,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_145.jpg
37,MINISTOP(미니스톱),꿀홍삼펫,음료,1000,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_278.jpg
38,MINISTOP(미니스톱),끌레도르,아이스크림,2000,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_187.jpg
39,MINISTOP(미니스톱),나뚜루미니컵7종,아이스크림,2600,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_01.jpg
40,MINISTOP(미니스톱),나뚜루바7종,아이스크림,2600,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_189.jpg
41,MINISTOP(미니스톱),낙지철판볶음밥,식품,2333,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_04.jpg
42,MINISTOP(미니스톱),내몸에순한면 팬티라이너,생활용품,2200,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_65.jpg
43,MINISTOP(미니스톱),내몸에순한면대형16P,생활용품,3950,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_69.jpg
44,MINISTOP(미니스톱),내사랑유자C병,음료,667,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_283.jpg
45,MINISTOP(미니스톱),네버다이247(숙취해소음료),음료,3333,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_314.jpg
