,편의점 명,상품 명,분류,개당 가격,행사 유형,이미지
274,CU(씨유),마미)쉐프톰양소컵,식품,800,2+1,http://bgf-cu.xcache.kinxcdn.com/product/9555022304526.jpg
275,CU(씨유),마즈)스니커즈땅콩,과자류,800,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/145D3EC2E051476A896A5F53C9F34255.jpg
276,CU(씨유),마즈)스니커즈아몬드,과자류,800,2+1,http://bgf-cu.xcache.kinxcdn.com/product/0000000401050.jpg
277,CU(씨유),마즈)스니커즈헤이즐넛,과자류,1133,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/93250547101A4221B55C99B06E57ADB0.jpg
278,CU(씨유),마즈)엠앤엠즈픽앤믹스,과자류,333,2+1,http://bgf-cu.xcache.kinxcdn.com/product/0000088017907.jpg
279,CU(씨유),마즈)트윅스미니초콜릿,과자류,200,2+1,http://bgf-cu.xcache.kinxcdn.com/product/0000040111896.jpg
280,CU(씨유),매일)네이처밸리아몬드,과자류,600,1+1,http://bgf-cu.xcache.kinxcdn.com/product/8410076801012.jpg
281,CU(씨유),매일)네이처밸리오츠베리,과자류,600,1+1,http://bgf-cu.xcache.kinxcdn.com/product/8410076801029.jpg
282,CU(씨유),매일)두유99.89팩190ml,음료,667,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/7D50F5959575422AB47BACB7070E7EE5.jpg
283,CU(씨유),매일)바리스타드립라떼325,음료,1667,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/905E8CBFB75B4035B29B38BF3B5EA769.jpg
284,CU(씨유),매일)바리스타바닐라빈325,음료,1667,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/0966F3D4FD8B474786C0BD8BD67D7D10.jpg
285,CU(씨유),매일)바리스타블랙컵325,음료,1667,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/DD5B6C419EB4439BB173017AE37D9B7D.jpg
286,CU(씨유),매일)상하유기농멸균200ml,음료,1000,2+1,http://bgf-cu.xcache.kinxcdn.com/product/0000088004648.jpg
287,CU(씨유),매일)상하유기농저지방200,음료,1000,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801121020036.jpg
288,CU(씨유),매일)식이섬유두유팩190ml,음료,667,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/F05E05AFEB9549DDB4A65D8F7E566095.jpg
289,CU(씨유),매일)썬업과일야채녹황,음료,1000,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/62AC8A989F4243F7BAA33E5770A39C27.jpg
290,CU(씨유),매일)썬업과일야채레드,음료,1000,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801121752296.jpg
291,CU(씨유),매일)썬업과일야채퍼플,음료,1000,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/BD02498DCEB54DBAB59EAC14C3896804.jpg
